"Notes"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Dissociative convulsions"	"F44.5"	3	4156214161	0.0 (Unreliable)
	"Dissociative anaesthesia and sensory loss"	"F44.6"	2	4156214161	0.0 (Unreliable)
	"Mixed dissociative [conversion] disorders"	"F44.7"	0	4156214161	0.0 (Unreliable)
	"Other dissociative [conversion] disorders"	"F44.8"	32	4156214161	0.0
	"Dissociative [conversion] disorder, unspecified"	"F44.9"	9	4156214161	0.0 (Unreliable)
	"Somatization disorder"	"F45.0"	1	4156214161	0.0 (Unreliable)
	"Undifferentiated somatoform disorder"	"F45.1"	0	4156214161	0.0 (Unreliable)
	"Hypochondriacal disorder"	"F45.2"	2	4156214161	0.0 (Unreliable)
	"Somatoform autonomic dysfunction"	"F45.3"	64	4156214161	0.0
	"Persistent somatoform pain disorder"	"F45.4"	1	4156214161	0.0 (Unreliable)
	"Other somatoform disorders"	"F45.8"	14	4156214161	0.0 (Unreliable)
	"Somatoform disorder, unspecified"	"F45.9"	6	4156214161	0.0 (Unreliable)
	"Neurasthenia"	"F48.0"	21	4156214161	0.0
	"Depersonalization-derealization syndrome"	"F48.1"	0	4156214161	0.0 (Unreliable)
	"Other specified neurotic disorders"	"F48.8"	13	4156214161	0.0 (Unreliable)
	"Neurotic disorder, unspecified"	"F48.9"	48	4156214161	0.0
	"Anorexia nervosa"	"F50.0"	759	4156214161	0.0
	"Atypical anorexia nervosa"	"F50.1"	0	4156214161	0.0 (Unreliable)
	"Bulimia nervosa"	"F50.2"	157	4156214161	0.0
	"Atypical bulimia nervosa"	"F50.3"	0	4156214161	0.0 (Unreliable)
	"Overeating associated with other psychological disturbances"	"F50.4"	0	4156214161	0.0 (Unreliable)
	"Vomiting associated with other psychological disturbances"	"F50.5"	2	4156214161	0.0 (Unreliable)
	"Other eating disorders"	"F50.8"	1205	4156214161	0.0
	"Eating disorder, unspecified"	"F50.9"	100	4156214161	0.0
	"Nonorganic insomnia"	"F51.0"	0	4156214161	0.0 (Unreliable)
	"Nonorganic hypersomnia"	"F51.1"	0	4156214161	0.0 (Unreliable)
	"Nonorganic disorder of the sleep-wake schedule"	"F51.2"	0	4156214161	0.0 (Unreliable)
	"Sleepwalking [somnambulism]"	"F51.3"	0	4156214161	0.0 (Unreliable)
	"Sleep terrors [night terrors]"	"F51.4"	0	4156214161	0.0 (Unreliable)
	"Nightmares"	"F51.5"	0	4156214161	0.0 (Unreliable)
	"Other nonorganic sleep disorders"	"F51.8"	0	4156214161	0.0 (Unreliable)
	"Nonorganic sleep disorder, unspecified"	"F51.9"	0	4156214161	0.0 (Unreliable)
	"Lack or loss of sexual desire"	"F52.0"	0	4156214161	0.0 (Unreliable)
	"Sexual aversion and lack of sexual enjoyment"	"F52.1"	11	4156214161	0.0 (Unreliable)
	"Failure of genital response"	"F52.2"	0	4156214161	0.0 (Unreliable)
	"Orgasmic dysfunction"	"F52.3"	1	4156214161	0.0 (Unreliable)
	"Premature ejaculation"	"F52.4"	0	4156214161	0.0 (Unreliable)
	"Nonorganic vaginismus"	"F52.5"	0	4156214161	0.0 (Unreliable)
	"Nonorganic dyspareunia"	"F52.6"	0	4156214161	0.0 (Unreliable)
	"Excessive sexual drive"	"F52.7"	0	4156214161	0.0 (Unreliable)
	"Other sexual dysfunction, not caused by organic disorder or disease"	"F52.8"	0	4156214161	0.0 (Unreliable)
	"Unspecified sexual dysfunction, not caused by organic disorder or disease"	"F52.9"	0	4156214161	0.0 (Unreliable)
	"Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified"	"F53.0"	0	4156214161	0.0 (Unreliable)
	"Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified"	"F53.1"	0	4156214161	0.0 (Unreliable)
	"Other mental and behavioural disorders associated with the puerperium, not elsewhere classified"	"F53.8"	0	4156214161	0.0 (Unreliable)
	"Puerperal mental disorder, unspecified"	"F53.9"	0	4156214161	0.0 (Unreliable)
	"Psychological and behavioural factors associated with disorders or diseases classified elsewhere"	"F54"	2364	4156214161	0.1
	"Abuse of non-dependence-producing substances"	"F55"	94	4156214161	0.0
	"Unspecified behavioural syndromes associated with physiological disturbances and physical factors"	"F59"	2	4156214161	0.0 (Unreliable)
	"Paranoid personality disorder"	"F60.0"	1	4156214161	0.0 (Unreliable)
	"Schizoid personality disorder"	"F60.1"	2	4156214161	0.0 (Unreliable)
	"Dissocial personality disorder"	"F60.2"	0	4156214161	0.0 (Unreliable)
	"Emotionally unstable personality disorder"	"F60.3"	5	4156214161	0.0 (Unreliable)
	"Histrionic personality disorder"	"F60.4"	0	4156214161	0.0 (Unreliable)
	"Anankastic personality disorder"	"F60.5"	14	4156214161	0.0 (Unreliable)
	"Anxious [avoidant] personality disorder"	"F60.6"	1	4156214161	0.0 (Unreliable)
	"Dependent personality disorder"	"F60.7"	0	4156214161	0.0 (Unreliable)
	"Other specific personality disorders"	"F60.8"	1	4156214161	0.0 (Unreliable)
	"Personality disorder, unspecified"	"F60.9"	26	4156214161	0.0
	"Mixed and other personality disorders"	"F61"	0	4156214161	0.0 (Unreliable)
	"Enduring personality change after catastrophic experience"	"F62.0"	0	4156214161	0.0 (Unreliable)
	"Enduring personality change after psychiatric illness"	"F62.1"	0	4156214161	0.0 (Unreliable)
	"Other enduring personality changes"	"F62.8"	2	4156214161	0.0 (Unreliable)
	"Enduring personality change, unspecified"	"F62.9"	0	4156214161	0.0 (Unreliable)
	"Pathological gambling"	"F63.0"	1	4156214161	0.0 (Unreliable)
	"Pathological fire-setting [pyromania]"	"F63.1"	2	4156214161	0.0 (Unreliable)
	"Pathological stealing [kleptomania]"	"F63.2"	0	4156214161	0.0 (Unreliable)
	"Trichotillomania"	"F63.3"	0	4156214161	0.0 (Unreliable)
	"Other habit and impulse disorders"	"F63.8"	1	4156214161	0.0 (Unreliable)
	"Habit and impulse disorder, unspecified"	"F63.9"	1	4156214161	0.0 (Unreliable)
	"Transsexualism"	"F64.0"	0	4156214161	0.0 (Unreliable)
	"Dual-role transvestism"	"F64.1"	0	4156214161	0.0 (Unreliable)
	"Gender identity disorder of childhood"	"F64.2"	0	4156214161	0.0 (Unreliable)
	"Other gender identity disorders"	"F64.8"	0	4156214161	0.0 (Unreliable)
	"Gender identity disorder, unspecified"	"F64.9"	0	4156214161	0.0 (Unreliable)
	"Fetishism"	"F65.0"	0	4156214161	0.0 (Unreliable)
	"Fetishistic transvestism"	"F65.1"	0	4156214161	0.0 (Unreliable)
	"Exhibitionism"	"F65.2"	0	4156214161	0.0 (Unreliable)
	"Voyeurism"	"F65.3"	0	4156214161	0.0 (Unreliable)
	"Paedophilia"	"F65.4"	0	4156214161	0.0 (Unreliable)
	"Sadomasochism"	"F65.5"	0	4156214161	0.0 (Unreliable)
	"Multiple disorders of sexual preference"	"F65.6"	0	4156214161	0.0 (Unreliable)
	"Other disorders of sexual preference"	"F65.8"	3	4156214161	0.0 (Unreliable)
	"Disorder of sexual preference, unspecified"	"F65.9"	0	4156214161	0.0 (Unreliable)
	"Sexual maturation disorder"	"F66.0"	0	4156214161	0.0 (Unreliable)
	"Egodystonic sexual orientation"	"F66.1"	0	4156214161	0.0 (Unreliable)
	"Sexual relationship disorder"	"F66.2"	0	4156214161	0.0 (Unreliable)
	"Other psychosexual development disorders"	"F66.8"	0	4156214161	0.0 (Unreliable)
	"Psychosexual development disorder, unspecified"	"F66.9"	1	4156214161	0.0 (Unreliable)
	"Elaboration of physical symptoms for psychological reasons"	"F68.0"	0	4156214161	0.0 (Unreliable)
	"Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]"	"F68.1"	7	4156214161	0.0 (Unreliable)
	"Other specified disorders of adult personality and behaviour"	"F68.8"	0	4156214161	0.0 (Unreliable)
	"Unspecified disorder of adult personality and behaviour"	"F69"	2	4156214161	0.0 (Unreliable)
	"Mild mental retardation"	"F70"	29	4156214161	0.0
	"Moderate mental retardation"	"F71"	33	4156214161	0.0
	"Severe mental retardation"	"F72"	956	4156214161	0.0
	"Profound mental retardation"	"F73"	762	4156214161	0.0
	"Other mental retardation"	"F78"	5	4156214161	0.0 (Unreliable)
	"Unspecified mental retardation"	"F79"	4845	4156214161	0.1
	"Specific speech articulation disorder"	"F80.0"	0	4156214161	0.0 (Unreliable)
	"Expressive language disorder"	"F80.1"	0	4156214161	0.0 (Unreliable)
	"Receptive language disorder"	"F80.2"	1	4156214161	0.0 (Unreliable)
	"Acquired aphasia with epilepsy [Landau-Kleffner]"	"F80.3"	2	4156214161	0.0 (Unreliable)
	"Other developmental disorders of speech and language"	"F80.8"	0	4156214161	0.0 (Unreliable)
	"Developmental disorder of speech and language, unspecified"	"F80.9"	0	4156214161	0.0 (Unreliable)
	"Specific reading disorder"	"F81.0"	0	4156214161	0.0 (Unreliable)
	"Specific spelling disorder"	"F81.1"	1	4156214161	0.0 (Unreliable)
	"Specific disorder of arithmetical skills"	"F81.2"	2	4156214161	0.0 (Unreliable)
	"Mixed disorder of scholastic skills"	"F81.3"	0	4156214161	0.0 (Unreliable)
	"Other developmental disorders of scholastic skills"	"F81.8"	0	4156214161	0.0 (Unreliable)
	"Developmental disorder of scholastic skills, unspecified"	"F81.9"	10	4156214161	0.0 (Unreliable)
	"Specific developmental disorder of motor function"	"F82"	50	4156214161	0.0
	"Mixed specific developmental disorders"	"F83"	0	4156214161	0.0 (Unreliable)
	"Childhood autism"	"F84.0"	150	4156214161	0.0
	"Atypical autism"	"F84.1"	1	4156214161	0.0 (Unreliable)
	"Rett's syndrome"	"F84.2"	353	4156214161	0.0
	"Other childhood disintegrative disorder"	"F84.3"	6	4156214161	0.0 (Unreliable)
	"Overactive disorder associated with mental retardation and stereotyped movements"	"F84.4"	0	4156214161	0.0 (Unreliable)
	"Asperger's syndrome"	"F84.5"	7	4156214161	0.0 (Unreliable)
	"Other pervasive developmental disorders"	"F84.8"	1	4156214161	0.0 (Unreliable)
	"Pervasive developmental disorder, unspecified"	"F84.9"	9	4156214161	0.0 (Unreliable)
	"Other disorders of psychological development"	"F88"	1	4156214161	0.0 (Unreliable)
	"Unspecified disorder of psychological development"	"F89"	93	4156214161	0.0
	"Disturbance of activity and attention"	"F90.0"	8	4156214161	0.0 (Unreliable)
	"Hyperkinetic conduct disorder"	"F90.1"	0	4156214161	0.0 (Unreliable)
	"Other hyperkinetic disorders"	"F90.8"	1	4156214161	0.0 (Unreliable)
	"Hyperkinetic disorder, unspecified"	"F90.9"	8	4156214161	0.0 (Unreliable)
	"Conduct disorder confined to the family context"	"F91.0"	0	4156214161	0.0 (Unreliable)
	"Unsocialized conduct disorder"	"F91.1"	1	4156214161	0.0 (Unreliable)
	"Socialized conduct disorder"	"F91.2"	0	4156214161	0.0 (Unreliable)
	"Oppositional defiant disorder"	"F91.3"	3	4156214161	0.0 (Unreliable)
	"Other conduct disorders"	"F91.8"	4	4156214161	0.0 (Unreliable)
	"Conduct disorder, unspecified"	"F91.9"	37	4156214161	0.0
	"Depressive conduct disorder"	"F92.0"	0	4156214161	0.0 (Unreliable)
	"Other mixed disorders of conduct and emotions"	"F92.8"	0	4156214161	0.0 (Unreliable)
	"Mixed disorder of conduct and emotions, unspecified"	"F92.9"	0	4156214161	0.0 (Unreliable)
	"Separation anxiety disorder of childhood"	"F93.0"	1	4156214161	0.0 (Unreliable)
	"Phobic anxiety disorder of childhood"	"F93.1"	0	4156214161	0.0 (Unreliable)
	"Social anxiety disorder of childhood"	"F93.2"	0	4156214161	0.0 (Unreliable)
	"Sibling rivalry disorder"	"F93.3"	0	4156214161	0.0 (Unreliable)
	"Other childhood emotional disorders"	"F93.8"	0	4156214161	0.0 (Unreliable)
	"Childhood emotional disorder, unspecified"	"F93.9"	0	4156214161	0.0 (Unreliable)
	"Elective mutism"	"F94.0"	0	4156214161	0.0 (Unreliable)
	"Reactive attachment disorder of childhood"	"F94.1"	0	4156214161	0.0 (Unreliable)
	"Disinhibited attachment disorder of childhood"	"F94.2"	0	4156214161	0.0 (Unreliable)
	"Other childhood disorders of social functioning"	"F94.8"	0	4156214161	0.0 (Unreliable)
	"Childhood disorder of social functioning, unspecified"	"F94.9"	0	4156214161	0.0 (Unreliable)
	"Transient tic disorder"	"F95.0"	0	4156214161	0.0 (Unreliable)
	"Chronic motor or vocal tic disorder"	"F95.1"	0	4156214161	0.0 (Unreliable)
	"Combined vocal and multiple motor tic disorder [de la Tourette]"	"F95.2"	10	4156214161	0.0 (Unreliable)
	"Other tic disorders"	"F95.8"	0	4156214161	0.0 (Unreliable)
	"Tic disorder, unspecified"	"F95.9"	1	4156214161	0.0 (Unreliable)
	"Nonorganic enuresis"	"F98.0"	0	4156214161	0.0 (Unreliable)
	"Nonorganic encopresis"	"F98.1"	0	4156214161	0.0 (Unreliable)
	"Feeding disorder of infancy and childhood"	"F98.2"	1	4156214161	0.0 (Unreliable)
	"Pica of infancy and childhood"	"F98.3"	1	4156214161	0.0 (Unreliable)
	"Stereotyped movement disorders"	"F98.4"	0	4156214161	0.0 (Unreliable)
	"Stuttering [stammering]"	"F98.5"	0	4156214161	0.0 (Unreliable)
	"Cluttering"	"F98.6"	0	4156214161	0.0 (Unreliable)
	"Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence"	"F98.8"	3	4156214161	0.0 (Unreliable)
	"Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence"	"F98.9"	2	4156214161	0.0 (Unreliable)
	"Mental disorder, not otherwise specified"	"F99"	272	4156214161	0.0
	"Haemophilus meningitis"	"G00.0"	50	4156214161	0.0
	"Pneumococcal meningitis"	"G00.1"	1128	4156214161	0.0
	"Streptococcal meningitis"	"G00.2"	987	4156214161	0.0
	"Staphylococcal meningitis"	"G00.3"	200	4156214161	0.0
	"Other bacterial meningitis"	"G00.8"	245	4156214161	0.0
	"Bacterial meningitis, unspecified"	"G00.9"	2394	4156214161	0.1
	"Nonpyogenic meningitis"	"G03.0"	200	4156214161	0.0
	"Chronic meningitis"	"G03.1"	96	4156214161	0.0
	"Benign recurrent meningitis [Mollaret]"	"G03.2"	2	4156214161	0.0 (Unreliable)
	"Meningitis due to other specified causes"	"G03.8"	5	4156214161	0.0 (Unreliable)
	"Meningitis, unspecified"	"G03.9"	4142	4156214161	0.1
	"Acute disseminated encephalitis"	"G04.0"	110	4156214161	0.0
	"Tropical spastic paraplegia"	"G04.1"	11	4156214161	0.0 (Unreliable)
	"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified"	"G04.2"	65	4156214161	0.0
	"Other encephalitis, myelitis and encephalomyelitis"	"G04.8"	194	4156214161	0.0
	"Encephalitis, myelitis and encephalomyelitis, unspecified"	"G04.9"	3852	4156214161	0.1
	"Intracranial abscess and granuloma"	"G06.0"	1758	4156214161	0.0
	"Intraspinal abscess and granuloma"	"G06.1"	402	4156214161	0.0
	"Extradural and subdural abscess, unspecified"	"G06.2"	1430	4156214161	0.0
	"Intracranial and intraspinal phlebitis and thrombophlebitis"	"G08"	400	4156214161	0.0
	"Sequelae of inflammatory diseases of central nervous system"	"G09"	1205	4156214161	0.0
	"Huntington's disease"	"G10"	11430	4156214161	0.3
	"Congenital nonprogressive ataxia"	"G11.0"	4	4156214161	0.0 (Unreliable)
	"Early-onset cerebellar ataxia"	"G11.1"	1322	4156214161	0.0
	"Late-onset cerebellar ataxia"	"G11.2"	16	4156214161	0.0 (Unreliable)
	"Cerebellar ataxia with defective DNA repair"	"G11.3"	103	4156214161	0.0
	"Hereditary spastic paraplegia"	"G11.4"	99	4156214161	0.0
	"Other hereditary ataxias"	"G11.8"	14	4156214161	0.0 (Unreliable)
	"Hereditary ataxia, unspecified"	"G11.9"	1053	4156214161	0.0
	"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]"	"G12.0"	331	4156214161	0.0
	"Other inherited spinal muscular atrophy"	"G12.1"	130	4156214161	0.0
	"Motor neuron disease"	"G12.2"	84434	4156214161	2.0
	"Other spinal muscular atrophies and related syndromes"	"G12.8"	8	4156214161	0.0 (Unreliable)
	"Spinal muscular atrophy, unspecified"	"G12.9"	1702	4156214161	0.0
	"Postpolio syndrome"	"G14"	266	4156214161	0.0
	"Parkinson's disease"	"G20"	267172	4156214161	6.4
	"Malignant neuroleptic syndrome"	"G21.0"	519	4156214161	0.0
	"Other drug-induced secondary parkinsonism"	"G21.1"	20	4156214161	0.0
	"Secondary parkinsonism due to other external agents"	"G21.2"	2	4156214161	0.0 (Unreliable)
	"Postencephalitic parkinsonism"	"G21.3"	2	4156214161	0.0 (Unreliable)
	"Vascular parkinsonism"	"G21.4"	24	4156214161	0.0
	"Other secondary parkinsonism"	"G21.8"	428	4156214161	0.0
	"Secondary parkinsonism, unspecified"	"G21.9"	774	4156214161	0.0
	"Hallervorden-Spatz disease"	"G23.0"	96	4156214161	0.0
	"Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]"	"G23.1"	46	4156214161	0.0
	"Striatonigral degeneration"	"G23.2"	129	4156214161	0.0
	"Other specified degenerative diseases of basal ganglia"	"G23.8"	1266	4156214161	0.0
	"Degenerative disease of basal ganglia, unspecified"	"G23.9"	1141	4156214161	0.0
	"Drug-induced dystonia"	"G24.0"	8	4156214161	0.0 (Unreliable)
	"Idiopathic familial dystonia"	"G24.1"	66	4156214161	0.0
	"Idiopathic nonfamilial dystonia"	"G24.2"	0	4156214161	0.0 (Unreliable)
	"Spasmodic torticollis"	"G24.3"	17	4156214161	0.0 (Unreliable)
	"Idiopathic orofacial dystonia"	"G24.4"	318	4156214161	0.0
	"Blepharospasm"	"G24.5"	2	4156214161	0.0 (Unreliable)
	"Other dystonia"	"G24.8"	38	4156214161	0.0
	"Dystonia, unspecified"	"G24.9"	288	4156214161	0.0
	"Essential tremor"	"G25.0"	109	4156214161	0.0
	"Drug-induced tremor"	"G25.1"	0	4156214161	0.0 (Unreliable)
	"Other specified forms of tremor"	"G25.2"	13	4156214161	0.0 (Unreliable)
	"Myoclonus"	"G25.3"	127	4156214161	0.0
	"Drug-induced chorea"	"G25.4"	1	4156214161	0.0 (Unreliable)
	"Other chorea"	"G25.5"	170	4156214161	0.0
	"Drug-induced tics and other tics of organic origin"	"G25.6"	0	4156214161	0.0 (Unreliable)
	"Other specified extrapyramidal and movement disorders"	"G25.8"	223	4156214161	0.0
	"Extrapyramidal and movement disorder, unspecified"	"G25.9"	290	4156214161	0.0
	"Alzheimer's disease with early onset"	"G30.0"	162	4156214161	0.0
	"Alzheimer's disease with late onset"	"G30.1"	30628	4156214161	0.7
	"Other Alzheimer's disease"	"G30.8"	216	4156214161	0.0
	"Alzheimer's disease, unspecified"	"G30.9"	937434	4156214161	22.6
	"Circumscribed brain atrophy"	"G31.0"	3029	4156214161	0.1
	"Senile degeneration of brain, not elsewhere classified"	"G31.1"	502	4156214161	0.0
	"Degeneration of nervous system due to alcohol"	"G31.2"	1602	4156214161	0.0
	"Other specified degenerative diseases of nervous system"	"G31.8"	14152	4156214161	0.3
	"Degenerative disease of nervous system, unspecified"	"G31.9"	19012	4156214161	0.5
	"Multiple sclerosis"	"G35"	47338	4156214161	1.1
	"Neuromyelitis optica [Devic]"	"G36.0"	191	4156214161	0.0
	"Acute and subacute haemorrhagic leukoencephalitis [Hurst]"	"G36.1"	20	4156214161	0.0
	"Other specified acute disseminated demyelination"	"G36.8"	7	4156214161	0.0 (Unreliable)
	"Acute disseminated demyelination, unspecified"	"G36.9"	9	4156214161	0.0 (Unreliable)
	"Diffuse sclerosis"	"G37.0"	11	4156214161	0.0 (Unreliable)
	"Central demyelination of corpus callosum"	"G37.1"	37	4156214161	0.0
	"Central pontine myelinolysis"	"G37.2"	323	4156214161	0.0
	"Acute transverse myelitis in demyelinating disease of central nervous system"	"G37.3"	731	4156214161	0.0
	"Subacute necrotizing myelitis"	"G37.4"	0	4156214161	0.0 (Unreliable)
	"Concentric sclerosis [Balo]"	"G37.5"	0	4156214161	0.0 (Unreliable)
	"Other specified demyelinating diseases of central nervous system"	"G37.8"	98	4156214161	0.0
	"Demyelinating disease of central nervous system, unspecified"	"G37.9"	791	4156214161	0.0
	"Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset"	"G40.0"	12	4156214161	0.0 (Unreliable)
	"Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures"	"G40.1"	18	4156214161	0.0 (Unreliable)
	"Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures"	"G40.2"	32	4156214161	0.0
	"Generalized idiopathic epilepsy and epileptic syndromes"	"G40.3"	523	4156214161	0.0
	"Other generalized epilepsy and epileptic syndromes"	"G40.4"	273	4156214161	0.0
	"Special epileptic syndromes"	"G40.5"	120	4156214161	0.0
	"Grand mal seizures, unspecified (with or without petit mal)"	"G40.6"	2021	4156214161	0.0
	"Petit mal, unspecified, without grand mal seizures"	"G40.7"	12	4156214161	0.0 (Unreliable)
	"Other epilepsy"	"G40.8"	17	4156214161	0.0 (Unreliable)
	"Epilepsy, unspecified"	"G40.9"	9699	4156214161	0.2
	"Grand mal status epilepticus"	"G41.0"	14	4156214161	0.0 (Unreliable)
	"Petit mal status epilepticus"	"G41.1"	0	4156214161	0.0 (Unreliable)
	"Complex partial status epilepticus"	"G41.2"	0	4156214161	0.0 (Unreliable)
	"Other status epilepticus"	"G41.8"	16	4156214161	0.0 (Unreliable)
	"Status epilepticus, unspecified"	"G41.9"	7739	4156214161	0.2
	"Migraine without aura [common migraine]"	"G43.0"	1	4156214161	0.0 (Unreliable)
	"Migraine with aura [classical migraine]"	"G43.1"	1	4156214161	0.0 (Unreliable)
	"Status migrainosus"	"G43.2"	0	4156214161	0.0 (Unreliable)
	"Complicated migraine"	"G43.3"	0	4156214161	0.0 (Unreliable)
	"Other migraine"	"G43.8"	9	4156214161	0.0 (Unreliable)
	"Migraine, unspecified"	"G43.9"	45	4156214161	0.0
	"Cluster headache syndrome"	"G44.0"	3	4156214161	0.0 (Unreliable)
	"Vascular headache, not elsewhere classified"	"G44.1"	0	4156214161	0.0 (Unreliable)
	"Tension-type headache"	"G44.2"	0	4156214161	0.0 (Unreliable)
	"Chronic post-traumatic headache"	"G44.3"	0	4156214161	0.0 (Unreliable)
	"Drug-induced headache, not elsewhere classified"	"G44.4"	0	4156214161	0.0 (Unreliable)
	"Other specified headache syndromes"	"G44.8"	1	4156214161	0.0 (Unreliable)
	"Vertebro-basilar artery syndrome"	"G45.0"	179	4156214161	0.0
	"Carotid artery syndrome (hemispheric)"	"G45.1"	17	4156214161	0.0 (Unreliable)
	"Multiple and bilateral precerebral artery syndromes"	"G45.2"	0	4156214161	0.0 (Unreliable)
	"Amaurosis fugax"	"G45.3"	1	4156214161	0.0 (Unreliable)
	"Transient global amnesia"	"G45.4"	1	4156214161	0.0 (Unreliable)
	"Other transient cerebral ischaemic attacks and related syndromes"	"G45.8"	11	4156214161	0.0 (Unreliable)
	"Transient cerebral ischaemic attack, unspecified"	"G45.9"	2577	4156214161	0.1
	"Disorders of initiating and maintaining sleep [insomnias]"	"G47.0"	36	4156214161	0.0
	"Disorders of excessive somnolence [hypersomnias]"	"G47.1"	1	4156214161	0.0 (Unreliable)
	"Disorders of the sleep-wake schedule"	"G47.2"	0	4156214161	0.0 (Unreliable)
	"Sleep apnoea"	"G47.3"	9558	4156214161	0.2
	"Narcolepsy and cataplexy"	"G47.4"	72	4156214161	0.0
	"Other sleep disorders"	"G47.8"	1	4156214161	0.0 (Unreliable)
	"Sleep disorder, unspecified"	"G47.9"	25	4156214161	0.0
	"Trigeminal neuralgia"	"G50.0"	116	4156214161	0.0
	"Atypical facial pain"	"G50.1"	2	4156214161	0.0 (Unreliable)
	"Other disorders of trigeminal nerve"	"G50.8"	1	4156214161	0.0 (Unreliable)
	"Disorder of trigeminal nerve, unspecified"	"G50.9"	1	4156214161	0.0 (Unreliable)
	"Bell's palsy"	"G51.0"	43	4156214161	0.0
	"Geniculate ganglionitis"	"G51.1"	0	4156214161	0.0 (Unreliable)
	"Melkersson's syndrome"	"G51.2"	2	4156214161	0.0 (Unreliable)
	"Clonic hemifacial spasm"	"G51.3"	0	4156214161	0.0 (Unreliable)
	"Facial myokymia"	"G51.4"	0	4156214161	0.0 (Unreliable)
	"Other disorders of facial nerve"	"G51.8"	6	4156214161	0.0 (Unreliable)
	"Disorder of facial nerve, unspecified"	"G51.9"	3	4156214161	0.0 (Unreliable)
	"Disorders of olfactory nerve"	"G52.0"	0	4156214161	0.0 (Unreliable)
	"Disorders of glossopharyngeal nerve"	"G52.1"	5	4156214161	0.0 (Unreliable)
	"Disorders of vagus nerve"	"G52.2"	17	4156214161	0.0 (Unreliable)
	"Disorders of hypoglossal nerve"	"G52.3"	3	4156214161	0.0 (Unreliable)
	"Disorders of multiple cranial nerves"	"G52.7"	10	4156214161	0.0 (Unreliable)
	"Disorders of other specified cranial nerves"	"G52.8"	6	4156214161	0.0 (Unreliable)
	"Cranial nerve disorder, unspecified"	"G52.9"	67	4156214161	0.0
	"Brachial plexus disorders"	"G54.0"	12	4156214161	0.0 (Unreliable)
	"Lumbosacral plexus disorders"	"G54.1"	1	4156214161	0.0 (Unreliable)
	"Cervical root disorders, not elsewhere classified"	"G54.2"	14	4156214161	0.0 (Unreliable)
	"Thoracic root disorders, not elsewhere classified"	"G54.3"	4	4156214161	0.0 (Unreliable)
	"Lumbosacral root disorders, not elsewhere classified"	"G54.4"	0	4156214161	0.0 (Unreliable)
	"Neuralgic amyotrophy"	"G54.5"	7	4156214161	0.0 (Unreliable)
	"Phantom limb syndrome with pain"	"G54.6"	0	4156214161	0.0 (Unreliable)
	"Phantom limb syndrome without pain"	"G54.7"	0	4156214161	0.0 (Unreliable)
	"Other nerve root and plexus disorders"	"G54.8"	1	4156214161	0.0 (Unreliable)
	"Nerve root and plexus disorder, unspecified"	"G54.9"	3	4156214161	0.0 (Unreliable)
	"Carpal tunnel syndrome"	"G56.0"	1	4156214161	0.0 (Unreliable)
	"Other lesions of median nerve"	"G56.1"	0	4156214161	0.0 (Unreliable)
	"Lesion of ulnar nerve"	"G56.2"	0	4156214161	0.0 (Unreliable)
	"Lesion of radial nerve"	"G56.3"	2	4156214161	0.0 (Unreliable)
	"Causalgia"	"G56.4"	4	4156214161	0.0 (Unreliable)
	"Other mononeuropathies of upper limb"	"G56.8"	0	4156214161	0.0 (Unreliable)
	"Mononeuropathy of upper limb, unspecified"	"G56.9"	0	4156214161	0.0 (Unreliable)
	"Lesion of sciatic nerve"	"G57.0"	2	4156214161	0.0 (Unreliable)
	"Meralgia paraesthetica"	"G57.1"	0	4156214161	0.0 (Unreliable)
	"Lesion of femoral nerve"	"G57.2"	0	4156214161	0.0 (Unreliable)
	"Lesion of lateral popliteal nerve"	"G57.3"	0	4156214161	0.0 (Unreliable)
	"Lesion of medial popliteal nerve"	"G57.4"	0	4156214161	0.0 (Unreliable)
	"Tarsal tunnel syndrome"	"G57.5"	1	4156214161	0.0 (Unreliable)
	"Lesion of plantar nerve"	"G57.6"	0	4156214161	0.0 (Unreliable)
	"Other mononeuropathies of lower limb"	"G57.8"	0	4156214161	0.0 (Unreliable)
	"Mononeuropathy of lower limb, unspecified"	"G57.9"	2	4156214161	0.0 (Unreliable)
	"Intercostal neuropathy"	"G58.0"	0	4156214161	0.0 (Unreliable)
	"Mononeuritis multiplex"	"G58.7"	21	4156214161	0.0
	"Other specified mononeuropathies"	"G58.8"	82	4156214161	0.0
	"Mononeuropathy, unspecified"	"G58.9"	271	4156214161	0.0
	"Hereditary motor and sensory neuropathy"	"G60.0"	762	4156214161	0.0
	"Refsum's disease"	"G60.1"	16	4156214161	0.0 (Unreliable)
	"Neuropathy in association with hereditary ataxia"	"G60.2"	5	4156214161	0.0 (Unreliable)
