"Notes"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Carotid body"	"227.5"	6	4961016600	0.0 (Unreliable)
	"Aortic body and other paraganglia"	"227.6"	11	4961016600	0.0 (Unreliable)
	"Other"	"227.8"	3	4961016600	0.0 (Unreliable)
	"Endocrine gland, site unspecified"	"227.9"	7	4961016600	0.0 (Unreliable)
	"Hemangioma, any site"	"228.0"	901	4961016600	0.0
	"Lymphangioma, any site"	"228.1"	796	4961016600	0.0
	"Lymph nodes"	"229.0"	2	4961016600	0.0 (Unreliable)
	"Other specified sites"	"229.8"	117	4961016600	0.0
	"Site unspecified"	"229.9"	466	4961016600	0.0
	"Lip, oral cavity, and pharynx"	"230.0"	6	4961016600	0.0 (Unreliable)
	"Esophagus"	"230.1"	8	4961016600	0.0 (Unreliable)
	"Stomach"	"230.2"	4	4961016600	0.0 (Unreliable)
	"Colon"	"230.3"	24	4961016600	0.0
	"Rectum"	"230.4"	9	4961016600	0.0 (Unreliable)
	"Anal canal"	"230.5"	0	4961016600	0.0 (Unreliable)
	"Anus, unspecified"	"230.6"	0	4961016600	0.0 (Unreliable)
	"Other and unspecified parts of intestine"	"230.7"	5	4961016600	0.0 (Unreliable)
	"Liver and biliary system"	"230.8"	6	4961016600	0.0 (Unreliable)
	"Other and unspecified digestive organs"	"230.9"	1	4961016600	0.0 (Unreliable)
	"Larynx"	"231.0"	4	4961016600	0.0 (Unreliable)
	"Trachea"	"231.1"	1	4961016600	0.0 (Unreliable)
	"Bronchus and lung"	"231.2"	16	4961016600	0.0 (Unreliable)
	"Other specified parts of respiratory system"	"231.8"	1	4961016600	0.0 (Unreliable)
	"Respiratory system, part unspecified"	"231.9"	0	4961016600	0.0 (Unreliable)
	"Skin of lip"	"232.0"	2	4961016600	0.0 (Unreliable)
	"Eyelid, including canthus"	"232.1"	0	4961016600	0.0 (Unreliable)
	"Ear and external auditory canal"	"232.2"	0	4961016600	0.0 (Unreliable)
	"Skin of other and unspecified parts of face"	"232.3"	0	4961016600	0.0 (Unreliable)
	"Scalp and skin of neck"	"232.4"	0	4961016600	0.0 (Unreliable)
	"Skin of trunk, except scrotum"	"232.5"	0	4961016600	0.0 (Unreliable)
	"Skin of upper limb, including shoulder"	"232.6"	0	4961016600	0.0 (Unreliable)
	"Skin of lower limb, including hip"	"232.7"	0	4961016600	0.0 (Unreliable)
	"Other specified sites of skin"	"232.8"	0	4961016600	0.0 (Unreliable)
	"Skin, site unspecified"	"232.9"	13	4961016600	0.0 (Unreliable)
	"Breast"	"233.0"	26	4961016600	0.0
	"Cervix uteri"	"233.1"	18	4961016600	0.0 (Unreliable)
	"Other and unspecified parts of uterus"	"233.2"	7	4961016600	0.0 (Unreliable)
	"Other and unspecified female genital organs"	"233.3"	4	4961016600	0.0 (Unreliable)
	"Prostate"	"233.4"	1	4961016600	0.0 (Unreliable)
	"Penis"	"233.5"	0	4961016600	0.0 (Unreliable)
	"Other and unspecified male genital organs"	"233.6"	0	4961016600	0.0 (Unreliable)
	"Bladder"	"233.7"	9	4961016600	0.0 (Unreliable)
	"Other and unspecified urinary organs"	"233.9"	2	4961016600	0.0 (Unreliable)
	"Eye"	"234.0"	1	4961016600	0.0 (Unreliable)
	"Other specified sites"	"234.8"	4	4961016600	0.0 (Unreliable)
	"Site unspecified"	"234.9"	24	4961016600	0.0
	"Major salivary glands"	"235.0"	6	4961016600	0.0 (Unreliable)
	"Lip, oral cavity, and pharynx"	"235.1"	23	4961016600	0.0
	"Stomach, intestines, and rectum"	"235.2"	1185	4961016600	0.0
	"Liver and biliary passages"	"235.3"	276	4961016600	0.0
	"Retroperitoneum and peritoneum"	"235.4"	77	4961016600	0.0
	"Other and unspecified digestive organs"	"235.5"	222	4961016600	0.0
	"Larynx"	"235.6"	3	4961016600	0.0 (Unreliable)
	"Trachea, bronchus, and lung"	"235.7"	511	4961016600	0.0
	"Pleura, thymus, and mediastinum"	"235.8"	96	4961016600	0.0
	"Other and unspecified respiratory organs"	"235.9"	5	4961016600	0.0 (Unreliable)
	"Uterus"	"236.0"	33	4961016600	0.0
	"Placenta"	"236.1"	21	4961016600	0.0
	"Ovary"	"236.2"	117	4961016600	0.0
	"Other and unspecified female genital organs"	"236.3"	1	4961016600	0.0 (Unreliable)
	"Testis"	"236.4"	6	4961016600	0.0 (Unreliable)
	"Prostate"	"236.5"	2	4961016600	0.0 (Unreliable)
	"Other and unspecified male genital organs"	"236.6"	2	4961016600	0.0 (Unreliable)
	"Bladder"	"236.7"	24	4961016600	0.0
	"Other and unspecified urinary organs"	"236.9"	101	4961016600	0.0
	"Pituitary gland and craniopharyngeal duct"	"237.0"	1268	4961016600	0.0
	"Pineal gland"	"237.1"	153	4961016600	0.0
	"Adrenal gland"	"237.2"	5	4961016600	0.0 (Unreliable)
	"Paraganglia"	"237.3"	130	4961016600	0.0
	"Other and unspecified endocrine glands"	"237.4"	26	4961016600	0.0
	"Brain and spinal cord"	"237.5"	584	4961016600	0.0
	"Meninges"	"237.6"	45	4961016600	0.0
	"Neurofibromatosis"	"237.7"	1341	4961016600	0.0
	"Other and unspecified parts of nervous system"	"237.9"	18	4961016600	0.0 (Unreliable)
	"Bone and articular cartilage"	"238.0"	159	4961016600	0.0
	"Connective and other soft tissueperipheral, sympathetic, and parasympathetic nerves and ganglia"	"238.1"	549	4961016600	0.0
	"Skin"	"238.2"	13	4961016600	0.0 (Unreliable)
	"Breast"	"238.3"	95	4961016600	0.0
	"Polycythemia vera"	"238.4"	6649	4961016600	0.1
	"Histiocytic and mast cells"	"238.5"	4	4961016600	0.0 (Unreliable)
	"Plasma cells"	"238.6"	814	4961016600	0.0
	"Other lymphatic and hematopoietic tissues"	"238.7"	14718	4961016600	0.3
	"Other specified sites"	"238.8"	230	4961016600	0.0
	"Site unspecified"	"238.9"	1859	4961016600	0.0
	"Digestive system"	"239.0"	7551	4961016600	0.2
	"Respiratory system"	"239.1"	7837	4961016600	0.2
	"Bone, soft tissue, and skin"	"239.2"	580	4961016600	0.0
	"Breast"	"239.3"	139	4961016600	0.0
	"Bladder"	"239.4"	796	4961016600	0.0
	"Other genitourinary organs"	"239.5"	1906	4961016600	0.0
	"Brain"	"239.6"	47661	4961016600	1.0
	"Endocrine glands and other parts of nervous system"	"239.7"	3238	4961016600	0.1
	"Other specified sites"	"239.8"	4540	4961016600	0.1
	"Site unspecified"	"239.9"	2266	4961016600	0.0
	"Goiter, specified as simple"	"240.0"	2	4961016600	0.0 (Unreliable)
	"Goiter, unspecified"	"240.9"	534	4961016600	0.0
	"Nontoxic uninodular goiter"	"241.0"	22	4961016600	0.0
	"Nontoxic multinodular goiter"	"241.1"	89	4961016600	0.0
	"Unspecified nontoxic nodular goiter"	"241.9"	58	4961016600	0.0
	"Toxic diffuse goiter"	"242.0"	493	4961016600	0.0
	"Toxic uninodular goiter"	"242.1"	6	4961016600	0.0 (Unreliable)
	"Toxic multinodular goiter"	"242.2"	44	4961016600	0.0
	"Toxic nodular goiter, unspecified"	"242.3"	49	4961016600	0.0
	"Thyrotoxicosis from ectopic thyroid nodule"	"242.4"	6	4961016600	0.0 (Unreliable)
	"Thyrotoxicosis of other specified origin"	"242.8"	9	4961016600	0.0 (Unreliable)
	"Thyrotoxicosis without mention of goiter or other cause"	"242.9"	2838	4961016600	0.1
	"Congenital hypothyroidism"	"243"	88	4961016600	0.0
	"Other postablative hypothyroidism"	"244.1"	3	4961016600	0.0 (Unreliable)
	"Iodine hypothyroidism"	"244.2"	2	4961016600	0.0 (Unreliable)
	"Other iatrogenic hypothyroidism"	"244.3"	3	4961016600	0.0 (Unreliable)
	"Other specified acquired hypothyroidism"	"244.8"	4	4961016600	0.0 (Unreliable)
	"Unspecified hypothyroidism"	"244.9"	14660	4961016600	0.3
	"Acute thyroiditis"	"245.0"	16	4961016600	0.0 (Unreliable)
	"Subacute thyroiditis"	"245.1"	3	4961016600	0.0 (Unreliable)
	"Chronic lymphocytic thyroiditis"	"245.2"	90	4961016600	0.0
	"Chronic fibrous thyroiditis"	"245.3"	10	4961016600	0.0 (Unreliable)
	"Iatrogenic thyroiditis"	"245.4"	9	4961016600	0.0 (Unreliable)
	"Other and unspecified chronic thyroiditis"	"245.8"	30	4961016600	0.0
	"Thyroiditis, unspecified"	"245.9"	49	4961016600	0.0
	"Disorders of thyrocalcitonin secretion"	"246.0"	0	4961016600	0.0 (Unreliable)
	"Dyshormonogenic goiter"	"246.1"	6	4961016600	0.0 (Unreliable)
	"Cyst of thyroid"	"246.2"	8	4961016600	0.0 (Unreliable)
	"Hemorrhage and infarction of thyroid"	"246.3"	5	4961016600	0.0 (Unreliable)
	"Other specified disorders of thyroid"	"246.8"	35	4961016600	0.0
	"Unspecified disorder of thyroid"	"246.9"	351	4961016600	0.0
	"Diabetes mellitus without mention of complication"	"250.0"	683671	4961016600	13.8
	"Diabetes with ketoacidosis"	"250.1"	34456	4961016600	0.7
	"Diabetes with hyperosmolarity"	"250.2"	22977	4961016600	0.5
	"Diabetes with other coma"	"250.3"	79190	4961016600	1.6
	"Diabetes with renal manifestations"	"250.4"	2013	4961016600	0.0
	"Diabetes with ophthalmic manifestations"	"250.5"	5942	4961016600	0.1
	"Diabetes with neurological manifestations"	"250.6"	65880	4961016600	1.3
	"Diabetes with peripheral circulatory disorders"	"250.7"	18234	4961016600	0.4
	"Diabetes with unspecified complication"	"250.9"	2500	4961016600	0.1
	"Hypoglycemic coma"	"251.0"	711	4961016600	0.0
	"Other specified hypoglycemia"	"251.1"	45	4961016600	0.0
	"Hypoglycemia, unspecified"	"251.2"	2826	4961016600	0.1
	"Abnormality of secretion of glucagon"	"251.4"	1	4961016600	0.0 (Unreliable)
	"Abnormality of secretion of gastrin"	"251.5"	288	4961016600	0.0
	"Other specified disorders of pancreatic internal secretion"	"251.8"	30	4961016600	0.0
	"Unspecified disorder of pancreatic internal secretion"	"251.9"	15	4961016600	0.0 (Unreliable)
	"Hyperparathyroidism"	"252.0"	1510	4961016600	0.0
	"Hypoparathyroidism"	"252.1"	260	4961016600	0.0
	"Other specified disorders of parathyroid gland"	"252.8"	3	4961016600	0.0 (Unreliable)
	"Unspecified disorder of parathyroid gland"	"252.9"	60	4961016600	0.0
	"Acromegaly and gigantism"	"253.0"	212	4961016600	0.0
	"Other and unspecified anterior pituitary hyperfunction"	"253.1"	6	4961016600	0.0 (Unreliable)
	"Panhypopituitarism"	"253.2"	1224	4961016600	0.0
	"Pituitary dwarfism"	"253.3"	21	4961016600	0.0
	"Other anterior pituitary disorders"	"253.4"	2	4961016600	0.0 (Unreliable)
	"Diabetes insipidus"	"253.5"	565	4961016600	0.0
	"Other disorders of neurohypophysis"	"253.6"	1366	4961016600	0.0
	"Iatrogenic pituitary disorders"	"253.7"	11	4961016600	0.0 (Unreliable)
	"Other disorders of the pituitary and other syndromes of diencephalohypophyseal origin"	"253.8"	127	4961016600	0.0
	"Unspecified"	"253.9"	128	4961016600	0.0
	"Persistent hyperplasia of thymus"	"254.0"	64	4961016600	0.0
	"Abscess of thymus"	"254.1"	4	4961016600	0.0 (Unreliable)
	"Other specified diseases of thymus gland"	"254.8"	48	4961016600	0.0
	"Unspecified disease of thymus gland"	"254.9"	14	4961016600	0.0 (Unreliable)
	"Cushing's syndrome"	"255.0"	753	4961016600	0.0
	"Hyperaldosteronism"	"255.1"	120	4961016600	0.0
	"Adrenogenital disorders"	"255.2"	112	4961016600	0.0
	"Other corticoadrenal overactivity"	"255.3"	50	4961016600	0.0
	"Corticoadrenal insufficiency"	"255.4"	3279	4961016600	0.1
	"Other adrenal hypofunction"	"255.5"	8	4961016600	0.0 (Unreliable)
	"Medulloadrenal hyperfunction"	"255.6"	5	4961016600	0.0 (Unreliable)
	"Other specified disorders of adrenal glands"	"255.8"	174	4961016600	0.0
	"Unspecified disorder of adrenal glands"	"255.9"	110	4961016600	0.0
	"Hyperestrogenism"	"256.0"	0	4961016600	0.0 (Unreliable)
	"Other ovarian hyperfunction"	"256.1"	1	4961016600	0.0 (Unreliable)
	"Postablative ovarian failure"	"256.2"	0	4961016600	0.0 (Unreliable)
	"Other ovarian failure"	"256.3"	4	4961016600	0.0 (Unreliable)
	"Polycystic ovaries"	"256.4"	9	4961016600	0.0 (Unreliable)
	"Other ovarian dysfunction"	"256.8"	0	4961016600	0.0 (Unreliable)
	"Unspecified ovarian dysfunction"	"256.9"	2	4961016600	0.0 (Unreliable)
	"Testicular hyperfunction"	"257.0"	0	4961016600	0.0 (Unreliable)
	"Postablative testicular hypofunction"	"257.1"	0	4961016600	0.0 (Unreliable)
	"Other testicular hypofunction"	"257.2"	7	4961016600	0.0 (Unreliable)
	"Other testicular dysfunction"	"257.8"	0	4961016600	0.0 (Unreliable)
	"Unspecified testicular dysfunction"	"257.9"	4	4961016600	0.0 (Unreliable)
	"Polyglandular activity in multiple endocrine adenomatosis"	"258.0"	4	4961016600	0.0 (Unreliable)
	"Other combinations of endocrine dysfunction"	"258.1"	13	4961016600	0.0 (Unreliable)
	"Other specified polyglandular dysfunction"	"258.8"	9	4961016600	0.0 (Unreliable)
	"Polyglandular dysfunction, unspecified"	"258.9"	41	4961016600	0.0
	"Delay in sexual development and puberty, not elsewhere classified"	"259.0"	4	4961016600	0.0 (Unreliable)
	"Precocious sexual development and puberty, not elsewhere classified"	"259.1"	2	4961016600	0.0 (Unreliable)
	"Carcinoid syndrome"	"259.2"	548	4961016600	0.0
	"Ectopic hormone secretion, not elsewhere classified"	"259.3"	3	4961016600	0.0 (Unreliable)
	"Dwarfism, not elsewhere classified"	"259.4"	1080	4961016600	0.0
	"Other specified endocrine disorders"	"259.8"	95	4961016600	0.0
	"Unspecified endocrine disorder"	"259.9"	81	4961016600	0.0
	"Kwashiorkor"	"260"	1246	4961016600	0.0
	"Nutritional marasmus"	"261"	5326	4961016600	0.1
	"Other severe protein-calorie malnutrition"	"262"	222	4961016600	0.0
	"Malnutrition of moderate degree"	"263.0"	12	4961016600	0.0 (Unreliable)
	"Malnutrition of mild degree"	"263.1"	12	4961016600	0.0 (Unreliable)
	"Arrested development following protein-calorie malnutrition"	"263.2"	155	4961016600	0.0
	"Other protein-calorie malnutrition"	"263.8"	24	4961016600	0.0
	"Unspecified protein-calorie malnutrition"	"263.9"	50650	4961016600	1.0
	"With conjunctival xerosis"	"264.0"	0	4961016600	0.0 (Unreliable)
	"With conjunctival xerosis and bitot's spot"	"264.1"	0	4961016600	0.0 (Unreliable)
	"With corneal xerosis"	"264.2"	0	4961016600	0.0 (Unreliable)
	"With corneal ulceration and xerosis"	"264.3"	0	4961016600	0.0 (Unreliable)
	"With keratomalacia"	"264.4"	0	4961016600	0.0 (Unreliable)
	"With night blindness"	"264.5"	0	4961016600	0.0 (Unreliable)
	"With xerophthalmic scars of cornea"	"264.6"	0	4961016600	0.0 (Unreliable)
	"Other ocular manifestations of vitamin a deficiency"	"264.7"	0	4961016600	0.0 (Unreliable)
	"Other manifestations of vitamin a deficiency"	"264.8"	0	4961016600	0.0 (Unreliable)
	"Unspecified vitamin a deficiency"	"264.9"	14	4961016600	0.0 (Unreliable)
	"Beriberi"	"265.0"	35	4961016600	0.0
	"Other and unspecified manifestations of thiamine deficiency"	"265.1"	257	4961016600	0.0
	"Pellagra"	"265.2"	23	4961016600	0.0
	"Ariboflavinosis"	"266.0"	1	4961016600	0.0 (Unreliable)
	"Vitamin b6 deficiency"	"266.1"	3	4961016600	0.0 (Unreliable)
	"Other b-complex deficiencies"	"266.2"	218	4961016600	0.0
	"Unspecified vitamin b deficiency"	"266.9"	7	4961016600	0.0 (Unreliable)
	"Ascorbic acid deficiency"	"267"	50	4961016600	0.0
	"Rickets, active"	"268.0"	14	4961016600	0.0 (Unreliable)
	"Rickets, late effect"	"268.1"	5	4961016600	0.0 (Unreliable)
	"Osteomalacia, unspecified"	"268.2"	86	4961016600	0.0
	"Unspecified vitamin d deficiency"	"268.9"	6	4961016600	0.0 (Unreliable)
	"Deficiency of vitamin k"	"269.0"	15	4961016600	0.0 (Unreliable)
	"Deficiency of other vitamins"	"269.1"	4	4961016600	0.0 (Unreliable)
	"Unspecified vitamin deficiency"	"269.2"	16	4961016600	0.0 (Unreliable)
	"Mineral deficiency, not elsewhere classified"	"269.3"	10	4961016600	0.0 (Unreliable)
	"Other nutritional deficiency"	"269.8"	74	4961016600	0.0
	"Unspecified nutritional deficiency"	"269.9"	2102	4961016600	0.0
	"Disturbances of amino-acid transport"	"270.0"	130	4961016600	0.0
	"Phenylketonuria [pku]"	"270.1"	45	4961016600	0.0
	"Other disturbances of aromatic amino-acid metabolism"	"270.2"	154	4961016600	0.0
	"Disturbances of branched-chain amino-acid metabolism"	"270.3"	66	4961016600	0.0
	"Disturbances of sulphur-bearing amino-acid metabolism"	"270.4"	49	4961016600	0.0
	"Disturbances of histidine metabolism"	"270.5"	1	4961016600	0.0 (Unreliable)
	"Disorders of urea cycle metabolism"	"270.6"	753	4961016600	0.0
	"Other disturbances of straight-chain amino-acid metabolism"	"270.7"	221	4961016600	0.0
	"Other specified disorders of amino-acid metabolism"	"270.8"	69	4961016600	0.0
	"Unspecified disorder of amino-acid metabolism"	"270.9"	31	4961016600	0.0
	"Glycogenosis"	"271.0"	538	4961016600	0.0
	"Galactosemia"	"271.1"	24	4961016600	0.0
	"Hereditary fructose intolerance"	"271.2"	9	4961016600	0.0 (Unreliable)
	"Intestinal disaccharidase deficiencies and disaccharide malabsorption"	"271.3"	190	4961016600	0.0
	"Renal glycosuria"	"271.4"	69	4961016600	0.0
	"Other specified disorders of carbohydrate transport and metabolism"	"271.8"	99	4961016600	0.0
	"Unspecified disorder of carbohydrate transport and metabolism"	"271.9"	9	4961016600	0.0 (Unreliable)
	"Pure hypercholesterolemia"	"272.0"	10776	4961016600	0.2
	"Pure hyperglyceridemia"	"272.1"	464	4961016600	0.0
	"Mixed hyperlipidemia"	"272.2"	153	4961016600	0.0
	"Hyperchylomicronemia"	"272.3"	17	4961016600	0.0 (Unreliable)
	"Other and unspecified hyperlipidemia"	"272.4"	14385	4961016600	0.3
	"Lipoprotein deficiencies"	"272.5"	345	4961016600	0.0
	"Lipodystrophy"	"272.6"	29	4961016600	0.0
	"Lipidoses"	"272.7"	1066	4961016600	0.0
	"Other disorders of lipoid metabolism"	"272.8"	154	4961016600	0.0
	"Unspecified disorder of lipoid metabolism"	"272.9"	135	4961016600	0.0
	"Polyclonal hypergammaglobulinemia"	"273.0"	53	4961016600	0.0
	"Monoclonal paraproteinemia"	"273.1"	564	4961016600	0.0
	"Other paraproteinemias"	"273.2"	1256	4961016600	0.0
	"Macroglobulinemia"	"273.3"	5001	4961016600	0.1
	"Other disorders of plasma protein metabolism"	"273.8"	2419	4961016600	0.0
	"Unspecified disorder of plasma protein metabolism"	"273.9"	219	4961016600	0.0
	"Gouty arthropathy"	"274.0"	468	4961016600	0.0
	"Gouty nephropathy"	"274.1"	330	4961016600	0.0
	"Gout with other specified manifestations"	"274.8"	5	4961016600	0.0 (Unreliable)
	"Gout, unspecified"	"274.9"	962	4961016600	0.0
	"Disorders of iron metabolism"	"275.0"	3330	4961016600	0.1
	"Disorders of copper metabolism"	"275.1"	274	4961016600	0.0
	"Disorders of magnesium metabolism"	"275.2"	116	4961016600	0.0
	"Disorders of phosphorus metabolism"	"275.3"	202	4961016600	0.0
	"Disorders of calcium metabolism"	"275.4"	2522	4961016600	0.1
	"Other specified disorders of mineral metabolism"	"275.8"	3	4961016600	0.0 (Unreliable)
	"Unspecified disorder of mineral metabolism"	"275.9"	9	4961016600	0.0 (Unreliable)
	"Hyperosmolality and/or hypernatremia"	"276.0"	4653	4961016600	0.1
	"Hyposmolality and/or hyponatremia"	"276.1"	3485	4961016600	0.1
	"Acidosis"	"276.2"	15562	4961016600	0.3
	"Alkalosis"	"276.3"	209	4961016600	0.0
	"Mixed acid-base balance disorder"	"276.4"	8	4961016600	0.0 (Unreliable)
	"Volume depletion"	"276.5"	58797	4961016600	1.2
	"Fluid overload"	"276.6"	683	4961016600	0.0
	"Hyperpotassemia"	"276.7"	4447	4961016600	0.1
	"Hypopotassemia"	"276.8"	2055	4961016600	0.0
	"Electrolyte and fluid disorders not elsewhere classified"	"276.9"	7378	4961016600	0.1
	"Cystic fibrosis"	"277.0"	9065	4961016600	0.2
	"Disorders of porphyrin metabolism"	"277.1"	205	4961016600	0.0
	"Other disorders of purine and pyrimidine metabolism"	"277.2"	47	4961016600	0.0
	"Amyloidosis"	"277.3"	12845	4961016600	0.3
	"Disorders of bilirubin excretion"	"277.4"	84	4961016600	0.0
	"Mucopolysaccharidosis"	"277.5"	1132	4961016600	0.0
	"Other deficiencies of circulating enzymes"	"277.6"	2505	4961016600	0.1
	"Other specified disorders of metabolism"	"277.8"	1009	4961016600	0.0
	"Unspecified disorder of metabolism"	"277.9"	5635	4961016600	0.1
	"Obesity"	"278.0"	27404	4961016600	0.6
	"Localized adiposity"	"278.1"	4	4961016600	0.0 (Unreliable)
	"Hypervitaminosis a"	"278.2"	6	4961016600	0.0 (Unreliable)
	"Hypercarotinemia"	"278.3"	13	4961016600	0.0 (Unreliable)
	"Hypervitaminosis d"	"278.4"	3	4961016600	0.0 (Unreliable)
	"Other hyperalimentation"	"278.8"	2280	4961016600	0.0
	"Deficiency of humoral immunity"	"279.0"	524	4961016600	0.0
	"Deficiency of cell-mediated immunity"	"279.1"	11069	4961016600	0.2
	"Combined immunity deficiency"	"279.2"	509	4961016600	0.0
	"Unspecified immunity deficiency"	"279.3"	8429	4961016600	0.2
	"Autoimmune disease, not elsewhere classified"	"279.4"	2742	4961016600	0.1
	"Other specified disorders involving the immune mechanism"	"279.8"	136	4961016600	0.0
	"Unspecified disorder of immune mechanism"	"279.9"	124	4961016600	0.0
	"Iron deficiency anemias"	"280"	1902	4961016600	0.0
	"Pernicious anemia"	"281.0"	2093	4961016600	0.0
	"Other vitamin b12 deficiency anemia"	"281.1"	26	4961016600	0.0
	"Folate-deficiency anemia"	"281.2"	281	4961016600	0.0
	"Other specified megaloblastic anemias, not elsewhere classified"	"281.3"	46	4961016600	0.0
	"Protein-deficiency anemia"	"281.4"	18	4961016600	0.0 (Unreliable)
	"Anemia associated with other specified nutritional deficiency"	"281.8"	155	4961016600	0.0
	"Unspecified deficiency anemia"	"281.9"	1116	4961016600	0.0
	"Hereditary spherocytosis"	"282.0"	104	4961016600	0.0
	"Hereditary elliptocytosis"	"282.1"	8	4961016600	0.0 (Unreliable)
	"Anemias due to disorders of glutathione metabolism"	"282.2"	22	4961016600	0.0
	"Other hemolytic anemias due to enzyme deficiency"	"282.3"	116	4961016600	0.0
	"Thalassemias"	"282.4"	678	4961016600	0.0
	"Sickle-cell trait"	"282.5"	107	4961016600	0.0
	"Sickle-cell anemia"	"282.6"	7692	4961016600	0.2
	"Other hemoglobinopathies"	"282.7"	73	4961016600	0.0
	"Other specified hereditary hemolytic anemias"	"282.8"	13	4961016600	0.0 (Unreliable)
	"Hereditary hemolytic anemia, unspecified"	"282.9"	3259	4961016600	0.1
	"Autoimmune hemolytic anemias"	"283.0"	2033	4961016600	0.0
	"Non-autoimmune hemolytic anemias"	"283.1"	840	4961016600	0.0
	"Hemoglobinuria due to hemolysis from external causes"	"283.2"	263	4961016600	0.0
	"Acquired hemolytic anemia, unspecified"	"283.9"	388	4961016600	0.0
	"Constitutional aplastic anemia"	"284.0"	815	4961016600	0.0
	"Other specified aplastic anemias"	"284.8"	7837	4961016600	0.2
	"Aplastic anemia, unspecified"	"284.9"	16707	4961016600	0.3
	"Sideroblastic anemia"	"285.0"	3015	4961016600	0.1
	"Acute posthemorrhagic anemia"	"285.1"	295	4961016600	0.0
	"Other specified anemias"	"285.8"	1188	4961016600	0.0
	"Anemia, unspecified"	"285.9"	27006	4961016600	0.5
	"Congenital factor viii disorder"	"286.0"	1342	4961016600	0.0
	"Congenital factor ix disorder"	"286.1"	88	4961016600	0.0
	"Congenital factor xi deficiency"	"286.2"	17	4961016600	0.0 (Unreliable)
	"Congenital deficiency of other clotting factors"	"286.3"	933	4961016600	0.0
	"Von willebrand's disease"	"286.4"	197	4961016600	0.0
	"Hemorrhagic disorder due to circulating anticoagulants"	"286.5"	184	4961016600	0.0
	"Defibrination syndrome"	"286.6"	13219	4961016600	0.3
	"Acquired coagulation factor deficiency"	"286.7"	70	4961016600	0.0
	"Other and unspecified coagulation defects"	"286.9"	7302	4961016600	0.1
	"Allergic purpura"	"287.0"	240	4961016600	0.0
	"Qualitative platelet defects"	"287.1"	183	4961016600	0.0
	"Other nonthrombocytopenic purpuras"	"287.2"	151	4961016600	0.0
	"Primary thrombocytopenia"	"287.3"	5583	4961016600	0.1
	"Secondary thrombocytopenia"	"287.4"	132	4961016600	0.0
	"Thrombocytopenia, unspecified"	"287.5"	8046	4961016600	0.2
	"Other specified hemorrhagic conditions"	"287.8"	22	4961016600	0.0
	"Unspecified hemorrhagic conditions"	"287.9"	1055	4961016600	0.0
	"Agranulocytosis"	"288.0"	6369	4961016600	0.1
	"Functional disorders of polymorphonuclear neutrophils"	"288.1"	310	4961016600	0.0
	"Genetic anomalies of leukocytes"	"288.2"	54	4961016600	0.0
	"Eosinophilia"	"288.3"	374	4961016600	0.0
	"Other specified disease of white blood cells"	"288.8"	2089	4961016600	0.0
	"Unspecified disease of white blood cells"	"288.9"	20	4961016600	0.0
	"Polycythemia, secondary"	"289.0"	89	4961016600	0.0
	"Chronic lymphadenitis"	"289.1"	4	4961016600	0.0 (Unreliable)
	"Nonspecific mesenteric lymphadenitis"	"289.2"	43	4961016600	0.0
	"Lymphadenitis, unspecified, except mesenteric"	"289.3"	81	4961016600	0.0
	"Hypersplenism"	"289.4"	458	4961016600	0.0
	"Other diseases of spleen"	"289.5"	2044	4961016600	0.0
	"Familial polycythemia"	"289.6"	23	4961016600	0.0
	"Methemoglobinemia"	"289.7"	45	4961016600	0.0
	"Other specified diseases of blood and blood-forming organs"	"289.8"	37882	4961016600	0.8
	"Unspecified diseases of blood and blood-forming organs"	"289.9"	2024	4961016600	0.0
	"Senile dementia, uncomplicated"	"290.0"	58699	4961016600	1.2
	"Presenile dementia"	"290.1"	92818	4961016600	1.9
	"Senile dementia with delusional or depressive features"	"290.2"	1841	4961016600	0.0
	"Senile dementia with delirium"	"290.3"	198	4961016600	0.0
	"Arteriosclerotic dementia"	"290.4"	32538	4961016600	0.7
	"Other specified senile psychotic conditions"	"290.8"	19	4961016600	0.0 (Unreliable)
	"Unspecified senile psychotic condition"	"290.9"	66	4961016600	0.0
	"Alcohol withdrawal delirium"	"291.0"	3364	4961016600	0.1
	"Alcohol amnestic syndrome"	"291.1"	210	4961016600	0.0
	"Other alcoholic dementia"	"291.2"	1558	4961016600	0.0
	"Alcohol withdrawal hallucinosis"	"291.3"	7	4961016600	0.0 (Unreliable)
	"Idiosyncratic alcohol intoxication"	"291.4"	0	4961016600	0.0 (Unreliable)
	"Alcoholic jealousy"	"291.5"	0	4961016600	0.0 (Unreliable)
	"Other specified alcoholic psychosis"	"291.8"	2498	4961016600	0.1
	"Unspecified alcoholic psychosis"	"291.9"	233	4961016600	0.0
	"Drug withdrawal syndrome"	"292.0"	107	4961016600	0.0
	"Paranoid and/or hallucinatory states induced by drugs"	"292.1"	1	4961016600	0.0 (Unreliable)
	"Pathological drug intoxication"	"292.2"	0	4961016600	0.0 (Unreliable)
	"Other specified drug-induced mental disorders"	"292.8"	17	4961016600	0.0 (Unreliable)
	"Unspecified drug-induced mental disorder"	"292.9"	15	4961016600	0.0 (Unreliable)
	"Acute delirium"	"293.0"	39	4961016600	0.0
	"Subacute delirium"	"293.1"	2	4961016600	0.0 (Unreliable)
	"Other specified transient organic mental disorders"	"293.8"	6	4961016600	0.0 (Unreliable)
